company,brand,variety,target,CFBAI_approved,meet_IWG_criteria,npi2006,npi2009,npi2012,serving_size_g,calories_kcal,fiber_g,sugar_g,sodium_mg,sugar_perc_g,fiber_perc_g,sodium_mg_per100g
Post,Honey Bunches of Oats Just Bunches,Honey Roasted,Adult,No,Yes,,58,58,57,250,4,14,80,0.25,0.07,140
Post,Honey Comb,(Regular),Child,Yes,No,36,,40,32,130,1,10,180,0.31,0.031,563
Post,Pebbles,Boulders Chocolate  Peanut Butter,Child,No,No,,,50,27,110,2,8,80,0.3,0.074,296
Post,Pebbles,Cocoa,Child,Yes,No,24,38,26,30,120,0,11,190,0.37,0,633
Post,Pebbles,Fruity,Child,Yes,No,24,38,26,30,120,0,11,190,0.37,0,633
Post,Pebbles,Marshmallow,Child,Yes,No,,,28,27,110,0,10,180,0.37,0,667
Post,Raisin Bran,,Family,No,No,48,48,50,59,190,8,19,250,0.32,0.136,424
Post,Selects,Blueberry Morning,Adult,No,No,,46,48,55,220,2,16,210,0.29,0.036,382
Post,Selects,Maple Pecan Crunch,Adult,No,Yes,,48,56,52,210,4,12,125,0.23,0.077,240
Post,Selects Great Grains,Banana Nut Crunch,Adult,No,Yes,,,56,59,240,7,11,140,0.19,0.119,237
Post,Selects Great Grains,Cranberry Almond Crunch,Adult,No,Yes,56,58,58,48,180,5,12,105,0.25,0.104,219
Post,Selects Great Grains,Crunchy Pecans,Adult,No,Yes,54,58,58,52,210,5,8,150,0.15,0.096,288
Post,Selects Great Grains,Raisin Date Pecan,Adult,No,Yes,56,58,58,55,210,5,13,135,0.24,0.091,245
Post,Shredded Wheat,Original,Adult,No,Yes,82,82,82,47,160,6,0,0,0,0.128,0
Post,Shredded Wheat,Spoon Size Honey Nut,Adult,No,Yes,70,68,72,59,220,6,12,60,0.2,0.102,102
Post,Shredded Wheat,Spoon Size Lightly Frosted,Adult,No,Yes,,,74,56,200,6,12,0,0.21,0.107,0
Post,Shredded Wheat,Spoon Size Original,Adult,No,Yes,82,70,82,49,170,6,0,0,0,0.122,0
Post,Shredded Wheat,Spoon Size Wheat 'n Bran,Adult,No,Yes,82,82,82,59,200,9,0,0,0,0.153,0
Post,Waffle Crisp,,Family,No,No,42,44,44,30,120,1,12,115,0.4,0.033,383
Quaker,Cap'n Crunch,(Regular),Family,No,No,26,44,28,27,110,1,12,200,0.44,0.037,741
Quaker,Cap'n Crunch,Chocolatey Crunch,Family,No,No,,,38,27,110,1,11,125,0.41,0.037,463
Quaker,Cap'n Crunch,OOPS! All Berries,Family,No,No,,,30,32,130,1,15,210,0.47,0.031,656
Quaker,Cap'n Crunch,Peanut Butter Crunch,Family,No,No,40,32,32,27,110,1,9,200,0.33,0.037,741
Quaker,Cap'n Crunch,with Crunchberries,Family,No,No,30,30,28,26,110,1,11,190,0.42,0.038,731
Quaker,Life,(Regular),Family,No,No,54,54,54,32,120,2,6,160,0.19,0.063,500
Quaker,Life,Cinnamon,Family,No,No,52,52,52,32,120,2,8,150,0.25,0.063,469
Quaker,Life,Maple & Brown Sugar,Family,No,No,,52,52,32,120,2,8,150,0.25,0.063,469
Quaker,Life Crunchtime,Apple Cinnamon,Family,No,No,,,58,32,110,6,7,90,0.22,0.188,281
Quaker,Life Crunchtime,Strawberry,Family,No,No,,,58,32,110,6,6,90,0.19,0.188,281
Quaker,Natural Granola,Apple Cranberry Almond,Adult,No,No,,,58,49,200,5,13,25,0.27,0.102,51
Quaker,Natural Granola,Low-fat,Adult,No,Yes,,50,58,55,210,5,14,130,0.25,0.091,236
Quaker,Natural Granola,Oats & Honey & Almonds,Adult,No,Yes,,,70,48,200,5,10,25,0.21,0.104,52
Quaker,Natural Granola,Oats & Honey & Raisins,Adult,No,Yes,46,46,70,51,210,5,13,30,0.25,0.098,59
Quaker,Oat Bran Cold Cereal,,Adult,No,Yes,,58,58,57,210,6,9,210,0.16,0.105,368
Quaker,Oatmeal Squares,Brown Sugar,Adult,No,Yes,54,54,70,56,210,5,9,190,0.16,0.089,339
Quaker,Oatmeal Squares,Cinnamon,Adult,No,Yes,54,56,70,56,210,5,9,190,0.16,0.089,339
Quaker,Oatmeal Squares,Golden Maple,Adult,No,Yes,,56,70,56,210,5,9,190,0.16,0.089,339
